rating,text,title,time,username
5,This was a good purchase!!! Very steady and secure and a great price.,,2023-08-09T18:18:28.000+00:00,Gail
5,Very stable and sturdy. Easy to move around. I loved it!,Love it!!!,2023-01-04T20:15:42.000+00:00,Nancy
5,"This is perfect for me. A two step stool isn't always high enough and I dread digging out a 6ft step ladder. It holds up nicely to weight, feels very secure as you stand on it. I even stood on the top step and it was still solid and sound. Very easy to open and close. The little pocket on top is nice. Would love to see an attachable tray added to hold a drill, pencil, tape measure and screws. My only little complaint is the top plastic seems to not hold up to any dings. Aside from that, love it.",Sturdy Step Stool,2022-10-18T02:36:02.000+00:00,DeannaB
5,"Nice Ladder, Sturdy and Light Weight, Does Not Creak and Wobble when climbing on it. Received Ladder and Immediately unpacked it and Tested it out - Felt Great - Steady - No Wobble - No Creaking. ""Only Bad Part is Now I know what it looks like on top of my Refrigerator, Well At Least I Now Have Something To Get Up There And Clean It With.."" I Would Recommend This Step Ladder. Buying Anything Online always makes you wonder what you will receive - But This Step Ladder Exceeded my Expectations.",Well Built for us bigger guy's,2022-05-13T22:51:23.000+00:00,GrumpyOldMan
5,"Great ladder, easy open & close wide steps very sturdy.","Wonderful Ladder, easy open & close",2022-01-18T19:24:45.000+00:00,Scorpio
5,"Rugged, good looking, easy use, convenient, easy to store in corner of kitchen. 
Excellent ladder.","Rugged, good looking, easy use, convenient, easy to store in corner of kitchen. Excellent ladder.",2020-08-04T18:55:40.000+00:00,Douglas
5,It is sturdy and has a good grip. It has a clip that holds the ladder in position when the legs are spread out and you can pull the clip to bring the legs together when you are done. Great quality product.,It is sturdy and has a good grip. It has...,2020-07-24T14:46:32.000+00:00,Shyamac13
5,"This latter did not meet my expectations, it exceeded my expectations. I pulled it off the rack,placed it in the middle of the aisle,and climbed it.to my amazement it was great.the big bottoms on each leg will allow me to use it outside as long as the surface is level and kind of dry and the 300lb weight limit is a plus.the price was a little more than I expected to pay for it ,but at 65 years of age I think the kids will have to fight over who gets to keep it when I am gone.a very solid and sturdy latter.a bit pricey but worth every penny.","This latter did not meet my expectations, it exceeded my expectations. I pulled it off the rack,p...",2020-07-22T02:43:03.000+00:00,MANDO
5,"This ladder is so handy and very sturdy. I have very tall kitchen cabinets and it really comes in handy sometimes, plus it is narrow enough to stash behind a door. It is relatively light to carry too! I am very happy with this purchase and would highly recommend it.",This ladder is so handy and very sturdy. I have very tall kitchen cabinets and it really comes in...,2020-06-10T00:41:22.000+00:00,
5,Love it! Very sturdy and smooth when opening or closing. Not too heavy or difficult to move around and stores easily. Also love the storage opening on the top!,Love it! Very sturdy and smooth when opening or closing. Not too heavy or difficult to move aroun...,2020-06-09T14:54:23.000+00:00,Kimberly
5,Sturdy and highly recommended.,Sturdy and highly recommended.,2020-05-13T02:16:51.000+00:00,Kat
5,"I love this step stool! It is a very light weight but yet sturdy addition to anybody's utility item closet. Great design and operating features. It folds up with one hand, has a convenient storage compartment on the handle. Folds up fairly flat for storage. Steps are grip right style and non slip. Great for doing odd chores and jobs around the house and garage or at work.",I love this step stool! It is a very light weight but yet sturdy addition to anybody's utility it...,2020-02-04T14:56:50.000+00:00,Bob901
5,"Gorilla Ladders 2-Step PRO-Grade Steel Step Stool, 300 lbs. Load Capacity Type IA Duty Rating review: This small step stool is tough and extremely strong. It has a tool platform at the top which is useful for when working on your home walls inside such as mounting shelving. It is stout! It can also take a beating and just keep working. I have another Gorilla ladder that is for outside and Gorilla ladders are just super strong and safe. I have included some pictures that show another use for the ladder - as a work platform for tools and fasteners. I was putting up a shelf in our hall and this ladder worked great as a tool and toolbox holder (that way I do not have to bend over as much). It is just great! I love Gorilla ladders! There ya go!","Gorilla Ladders 2-Step PRO-Grade Steel Step Stool, 300 lbs. Load Capacity Type IA Duty Rating rev...",2020-01-31T01:44:39.000+00:00,nj5j
5,"This little ladder is a big improvement over the step stool I was using. I can see why it has a 300lb capacity. Both the steps and the heavy steal frame are quality. The ladder looks and feels very sturdy. But, with that load capacity does come with some weight. It is not a light aluminum ladder. It is a little on the heavy side especially for the ladies. I love the top where you can set all your tools and everything you need for the job your doing. There are non skid treads on the steps for sure footing. I would recommend this for all the around the house small jobs. I plan to keep it in the house in the closet for light bulb changes and removing things from high shelves.",This little ladder is a big improvement over the step stool I was using. I can see why it has a ...,2020-01-29T01:10:06.000+00:00,homedeposhopper
5,Finally found a step stool that is reliable! This stool is made so well and is sturdy when standing on it that I am so comfortable. I do like the treads on it for security and no foot slippage. Most other stools are thinner and flimsy-not this one. Really made of heavy duty materials with a steady stay in place feel. It folds up with a slight push to be surprisingly thin for storage. This is now my go to stool for my entire house! Really quality product!,Finally found a step stool that is reliable! This stool is made so well and is sturdy when standi...,2020-01-26T19:45:39.000+00:00,Househuntress
